last_updated,target,temp_c,is_day,wind_kph,wind_degree,pressure_mb,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,vis_km,gust_kph,uv,wind_degree_sin,wind_degree_cos,lat,lon,futur_target
1736301600,1.1,5.5,0,9.7,78,1004.0,86,100,3.3,3.3,5.5,3.3,9.0,16.1,0.0,0.9781476007338056,0.2079116908177594,48.4,-4.4833,2.04
1736305200,2.04,5.0,0,12.2,111,1003.0,93,100,2.3,2.3,5.0,4.0,9.0,18.9,0.0,0.9335804264972016,-0.3583679495453002,48.4,-4.4833,2.55
1736308800,2.55,4.9,0,18.7,104,1002.0,93,100,1.1,1.1,4.9,3.9,7.0,27.0,0.0,0.9702957262759964,-0.2419218955996677,48.4,-4.4833,1.8
1736312400,1.8,4.4,0,21.6,94,1001.0,93,100,0.1,0.1,4.4,3.4,9.0,30.3,0.0,0.9975640502598242,-0.0697564737441253,48.4,-4.4833,2.15
1736316000,2.15,4.0,0,25.2,84,999.0,95,100,-0.8,-0.8,4.0,3.2,9.0,35.4,0.0,0.9945218953682732,0.1045284632676534,48.4,-4.4833,1.6
1736319600,1.6,4.0,0,27.7,84,998.0,94,100,-1.1,-1.1,4.0,3.1,6.7,39.2,0.0,0.9945218953682732,0.1045284632676534,48.4,-4.4833,1.1
1736323200,1.1,3.9,0,30.2,84,997.0,94,100,-1.4,-1.4,3.9,3.0,4.3,43.2,0.0,0.9945218953682732,0.1045284632676534,48.4,-4.4833,0.55
1736326800,0.55,3.9,1,32.8,84,996.0,93,100,-1.7,-1.7,3.9,2.9,2.0,47.3,1.0,0.9945218953682732,0.1045284632676534,48.4,-4.4833,0.4
1736330400,0.4,4.5,1,27.4,83,996.0,93,100,-0.4,-0.4,4.5,3.5,4.7,40.3,1.0,0.992546151641322,0.1218693434051474,48.4,-4.4833,0.2
1736334000,0.2,5.0,1,22.3,81,995.0,93,100,1.0,1.0,5.0,4.1,7.3,33.1,2.0,0.9876883405951378,0.1564344650402309,48.4,-4.4833,0.03
1736337600,0.03,5.6,1,16.9,79,995.0,94,100,2.3,2.3,5.6,4.7,10.0,26.1,2.0,0.981627183447664,0.1908089953765449,48.4,-4.4833,0.1
1736341200,0.1,6.4,1,11.9,128,995.0,93,100,4.2,4.2,6.4,5.4,10.0,18.4,2.0,0.788010753606722,-0.6156614753256583,48.4,-4.4833,0.2
1736344800,0.2,7.2,1,6.5,178,995.0,93,100,6.1,6.1,7.2,6.2,10.0,10.4,2.0,0.0348994967025011,-0.9993908270190958,48.4,-4.4833,0.22
1736348400,0.22,7.9,1,1.4,228,995.0,93,100,8.0,8.0,8.0,6.9,10.0,2.4,2.0,-0.7431448254773944,-0.6691306063588581,48.4,-4.4833,0.4
1736352000,0.4,7.9,1,2.2,170,995.0,94,100,7.8,7.8,7.9,6.9,10.0,3.6,2.0,0.1736481776669302,-0.984807753012208,48.4,-4.4833,0.6
1736355600,0.6,7.8,0,2.9,112,995.0,95,100,7.8,7.8,7.8,7.0,10.0,5.0,0.0,0.9271838545667874,-0.374606593415912,48.4,-4.4833,0.78
1736359200,0.78,7.7,0,3.6,54,995.0,96,100,7.7,7.7,7.7,7.0,10.0,6.2,0.0,0.8090169943749475,0.5877852522924731,48.4,-4.4833,0.6
1736362800,0.6,7.3,0,10.8,53,995.0,95,100,6.0,6.0,7.3,6.6,10.0,16.2,0.0,0.7986355100472928,0.6018150231520484,48.4,-4.4833,0.4
1736366400,0.4,6.9,0,17.6,52,996.0,95,100,4.3,4.3,6.9,6.1,10.0,26.3,0.0,0.788010753606722,0.6156614753256583,48.4,-4.4833,0.16
1736370000,0.16,6.6,0,24.8,51,996.0,94,100,2.6,2.6,6.6,5.7,10.0,36.1,0.0,0.7771459614569709,0.6293203910498375,48.4,-4.4833,0.3
1736290800,0.0,4.2,0,10.4,217,1007.0,82,21,1.7,1.7,4.2,1.4,10.0,17.8,0.0,-0.6018150231520484,-0.7986355100472928,48.8667,2.3333,0.0
1736294400,0.0,4.1,0,10.8,208,1007.0,82,25,1.4,1.4,4.1,1.3,10.0,18.4,0.0,-0.4694715627858908,-0.8829475928589269,48.8667,2.3333,0.0
1736298000,0.0,4.0,0,11.5,214,1007.0,84,31,1.2,1.2,4.0,1.5,10.0,19.4,0.0,-0.5591929034707467,-0.8290375725550417,48.8667,2.3333,0.0
1736301600,0.0,4.0,0,11.9,217,1007.0,84,15,1.0,1.0,4.0,1.5,10.0,20.2,0.0,-0.6018150231520484,-0.7986355100472928,48.8667,2.3333,0.0
1736305200,0.0,4.0,0,11.2,217,1007.0,83,76,1.2,1.2,4.0,1.4,10.0,18.9,0.0,-0.6018150231520484,-0.7986355100472928,48.8667,2.3333,0.0
1736308800,0.0,4.1,0,11.5,206,1006.0,84,99,1.3,1.3,4.1,1.6,10.0,19.1,0.0,-0.4383711467890774,-0.8987940462991669,48.8667,2.3333,0.0
1736312400,0.0,4.4,0,10.4,204,1006.0,84,78,1.8,1.8,4.4,1.9,10.0,17.0,0.0,-0.4067366430758002,-0.9135454576426008,48.8667,2.3333,0.0
1736316000,0.0,4.4,0,7.2,192,1005.0,85,55,2.7,2.7,4.4,2.1,10.0,11.9,0.0,-0.2079116908177595,-0.9781476007338056,48.8667,2.3333,0.6
1736319600,0.6,4.5,0,6.5,174,1005.0,88,70,3.0,3.0,4.5,2.6,9.7,10.4,0.0,0.1045284632676537,-0.9945218953682732,48.8667,2.3333,1.2
1736323200,1.2,4.5,1,5.8,156,1004.0,90,85,3.3,3.3,4.5,3.0,9.3,9.0,2.0,0.4067366430758004,-0.9135454576426008,48.8667,2.3333,1.85
1736326800,1.85,4.5,1,5.0,137,1004.0,93,100,3.6,3.6,4.5,3.5,9.0,7.3,1.0,0.6819983600624985,-0.7313537016191705,48.8667,2.3333,1.5
1736330400,1.5,4.3,1,7.2,117,1003.0,93,100,2.7,2.7,4.3,3.2,9.0,10.1,1.0,0.8910065241883679,-0.4539904997395467,48.8667,2.3333,1.2
